No	Abbreviated Journal Title	Full Journal Title	ISSN	SUBJECT
3514	J DTSCH DERMATOL GES	JOURNAL DER DEUTSCHEN DERMATOLOGISCHEN GESELLSCHAFT	1610-0379	DERMATOLOGY
3515	J DYN DIFFER EQU	JOURNAL OF DYNAMICS AND DIFFERENTIAL EQUATIONS	1040-7294	MATHEMATICS, APPLIED; MATHEMATICS
3516	J DYN SYST-T ASME	JOURNAL OF DYNAMIC SYSTEMS MEASUREMENT AND CONTROL-TRANSACTIONS OF THE ASME	0022-0434	AUTOMATION & CONTROL SYSTEMS; INSTRUMENTS & INSTRUMENTATION
3517	J EARTHQ ENG	JOURNAL OF EARTHQUAKE ENGINEERING	1363-2469	ENGINEERING, CIVIL; ENGINEERING, GEOLOGICAL
3518	J ECOL	JOURNAL OF ECOLOGY	0022-0477	ECOLOGY; PLANT SCIENCES
3519	J ECON ENTOMOL	JOURNAL OF ECONOMIC ENTOMOLOGY	0022-0493	ENTOMOLOGY
3520	J ECONOMETRICS	JOURNAL OF ECONOMETRICS	0304-4076	MATHEMATICS, INTERDISCIPLINARY APPLICATIONS
3521	J ECT	JOURNAL OF ECT	1095-0680	PSYCHIATRY
3522	J ELASTICITY	JOURNAL OF ELASTICITY	0374-3535	MECHANICS; ENGINEERING, MULTIDISCIPLINARY; MATERIALS SCIENCE, MULTIDISCIPLINARY
3523	J ELECTROANAL CHEM	JOURNAL OF ELECTROANALYTICAL CHEMISTRY	1572-6657	CHEMISTRY, ANALYTICAL; ELECTROCHEMISTRY
3524	J ELECTROCARDIOL	JOURNAL OF ELECTROCARDIOLOGY	0022-0736	CARDIAC & CARDIOVASCULAR SYSTEMS
3525	J ELECTROCERAM	JOURNAL OF ELECTROCERAMICS	1385-3449	MATERIALS SCIENCE, CERAMICS
3526	J ELECTROCHEM SOC	JOURNAL OF THE ELECTROCHEMICAL SOCIETY	0013-4651	MATERIALS SCIENCE, COATINGS & FILMS; ELECTROCHEMISTRY
3527	J ELECTROMYOGR KINES	JOURNAL OF ELECTROMYOGRAPHY AND KINESIOLOGY	1050-6411	NEUROSCIENCES; REHABILITATION; PHYSIOLOGY; SPORT SCIENCES
3528	J ELECTRON MATER	JOURNAL OF ELECTRONIC MATERIALS	0361-5235	PHYSICS, APPLIED; ENGINEERING, ELECTRICAL & ELECTRONIC; MATERIALS SCIENCE, MULTIDISCIPLINARY
3529	J ELECTRON PACKAGING	JOURNAL OF ELECTRONIC PACKAGING	1043-7398	ENGINEERING, ELECTRICAL & ELECTRONIC; ENGINEERING, MECHANICAL
3530	J ELECTRON SPECTROSC	JOURNAL OF ELECTRON SPECTROSCOPY AND RELATED PHENOMENA	0368-2048	SPECTROSCOPY
3531	J ELECTROSTAT	JOURNAL OF ELECTROSTATICS	0304-3886	ENGINEERING, ELECTRICAL & ELECTRONIC
3532	J EMERG MED	JOURNAL OF EMERGENCY MEDICINE	0736-4679	EMERGENCY MEDICINE
3533	J EMPIR RES HUM RES	JOURNAL OF EMPIRICAL RESEARCH ON HUMAN RESEARCH ETHICS	1556-2646	MEDICAL ETHICS
3534	J ENDOCRINOL	JOURNAL OF ENDOCRINOLOGY	0022-0795	ENDOCRINOLOGY & METABOLISM
3535	J ENDOCRINOL INVEST	JOURNAL OF ENDOCRINOLOGICAL INVESTIGATION	1720-8386	ENDOCRINOLOGY & METABOLISM
3536	J ENDODONT	JOURNAL OF ENDODONTICS	0099-2399	DENTISTRY, ORAL SURGERY & MEDICINE
3537	J ENDOUROL	JOURNAL OF ENDOUROLOGY	0892-7790	UROLOGY & NEPHROLOGY
3538	J ENDOVASC THER	JOURNAL OF ENDOVASCULAR THERAPY	1526-6028	SURGERY ; PERIPHERAL VASCULAR DISEASE
3539	J ENERG ENG	JOURNAL OF ENERGY ENGINEERING	0733-9402	ENERGY & FUELS; ENGINEERING, CIVIL
3540	J ENERG MATER	JOURNAL OF ENERGETIC MATERIALS	0737-0652	ENGINEERING, CHEMICAL
3541	J ENERGY CHEM	JOURNAL OF ENERGY CHEMISTRY	2095-4956	CHEMISTRY, PHYSICAL; CHEMISTRY, APPLIED; ENERGY & FUELS; ENGINEERING, CHEMICAL
3542	J ENG DESIGN	JOURNAL OF ENGINEERING DESIGN	0954-4828	ENGINEERING, MULTIDISCIPLINARY
3543	J ENG EDUC	JOURNAL OF ENGINEERING EDUCATION	1069-4730	EDUCATION, SCIENTIFIC DISCIPLINES; ENGINEERING, MULTIDISCIPLINARY
3544	J ENG FIBER FABR	JOURNAL OF ENGINEERED FIBERS AND FABRICS	1558-9250	MATERIALS SCIENCE, TEXTILES
3545	J ENG GAS TURB POWER	JOURNAL OF ENGINEERING FOR GAS TURBINES AND POWER-TRANSACTIONS OF THE ASME	0742-4795	ENGINEERING, MECHANICAL
3546	J ENG MATER-T ASME	JOURNAL OF ENGINEERING MATERIALS AND TECHNOLOGY-TRANSACTIONS OF THE ASME	0094-4289	ENGINEERING, MECHANICAL; MATERIALS SCIENCE, MULTIDISCIPLINARY
3547	J ENG MATH	JOURNAL OF ENGINEERING MATHEMATICS	0022-0833	MATHEMATICS, INTERDISCIPLINARY APPLICATIONS; ENGINEERING, MULTIDISCIPLINARY
3548	J ENG MECH	JOURNAL OF ENGINEERING MECHANICS	0733-9399	ENGINEERING, MECHANICAL
3549	J ENG TECHNOL	JOURNAL OF ENGINEERING TECHNOLOGY	0747-9664	ENGINEERING, MULTIDISCIPLINARY
3550	J ENG TECHNOL MANAGE	JOURNAL OF ENGINEERING AND TECHNOLOGY MANAGEMENT	0923-4748	ENGINEERING, INDUSTRIAL
3551	J ENTOMOL SCI	JOURNAL OF ENTOMOLOGICAL SCIENCE	0749-8004	ENTOMOLOGY
3552	J ENVIRON ENG	JOURNAL OF ENVIRONMENTAL ENGINEERING	0733-9372	ENVIRONMENTAL SCIENCES; ENGINEERING, CIVIL; ENGINEERING, ENVIRONMENTAL
3553	J ENVIRON INFORM	JOURNAL OF ENVIRONMENTAL INFORMATICS	1726-2135	ENVIRONMENTAL SCIENCES
3554	J ENVIRON MANAGE	JOURNAL OF ENVIRONMENTAL MANAGEMENT	0301-4797	ENVIRONMENTAL SCIENCES
3555	J ENVIRON QUAL	JOURNAL OF ENVIRONMENTAL QUALITY	0047-2425	ENVIRONMENTAL SCIENCES
3556	J ENVIRON RADIOACTIV	JOURNAL OF ENVIRONMENTAL RADIOACTIVITY	0265-931X	ENVIRONMENTAL SCIENCES
3557	J ENVIRON SCI HEAL A	JOURNAL OF ENVIRONMENTAL SCIENCE AND HEALTH PART A-TOXIC/HAZARDOUS SUBSTANCES & ENVIRONMENTAL ENGINEERING	1093-4529	ENVIRONMENTAL SCIENCES; ENGINEERING, ENVIRONMENTAL
3558	J ENVIRON SCI HEAL B	JOURNAL OF ENVIRONMENTAL SCIENCE AND HEALTH PART B-PESTICIDES FOOD CONTAMINANTS AND AGRICULTURAL WASTES	0360-1234	PUBLIC, ENVIRONMENTAL & OCC; ENVIRONMENTAL SCIENCES
3559	J ENVIRON SCI HEAL C	JOURNAL OF ENVIRONMENTAL SCIENCE AND HEALTH PART C-ENVIRONMENTAL CARCINOGENESIS & ECOTOXICOLOGY REVIEWS	1059-0501	ENVIRONMENTAL SCIENCES; ONCOLOGY; TOXICOLOGY
3560	J ENVIRON SCI-CHINA	JOURNAL OF ENVIRONMENTAL SCIENCES	1001-0742	ENVIRONMENTAL SCIENCES
3561	J ENZYM INHIB MED CH	JOURNAL OF ENZYME INHIBITION AND MEDICINAL CHEMISTRY	1475-6366	BIOCHEMISTRY & MOLECULAR BIOLOGY; CHEMISTRY, MEDICINAL
3562	J EPIDEMIOL	JOURNAL OF EPIDEMIOLOGY	0917-5040	PUBLIC, ENVIRONMENTAL & OCC
3563	J EPIDEMIOL COMMUN H	JOURNAL OF EPIDEMIOLOGY AND COMMUNITY HEALTH	0143-005X	PUBLIC, ENVIRONMENTAL & OCC
3564	J EQUINE VET SCI	JOURNAL OF EQUINE VETERINARY SCIENCE	0737-0806	VETERINARY SCIENCES
3565	J ESTHET RESTOR DENT	JOURNAL OF ESTHETIC AND RESTORATIVE DENTISTRY	1496-4155	DENTISTRY, ORAL SURGERY & MEDICINE
3566	J ETHNOBIOL ETHNOMED	JOURNAL OF ETHNOBIOLOGY AND ETHNOMEDICINE	1746-4269	PHARMACOLOGY & PHARMACY
3567	J ETHNOPHARMACOL	JOURNAL OF ETHNOPHARMACOLOGY	0378-8741	PHARMACOLOGY & PHARMACY; PLANT SCIENCES; INTEGRATIVE & COMPLEMENTARY MEDICINE; CHEMISTRY, MEDICINAL
3568	J ETHOL	JOURNAL OF ETHOLOGY	0289-0771	ZOOLOGY
3569	J EUKARYOT MICROBIOL	JOURNAL OF EUKARYOTIC MICROBIOLOGY	1066-5234	MICROBIOLOGY
3570	J EUR ACAD DERMATOL	JOURNAL OF THE EUROPEAN ACADEMY OF DERMATOLOGY AND VENEREOLOGY	0926-9959	DERMATOLOGY
3571	J EUR CERAM SOC	JOURNAL OF THE EUROPEAN CERAMIC SOCIETY	0955-2219	MATERIALS SCIENCE, CERAMICS
3572	J EUR MATH SOC	JOURNAL OF THE EUROPEAN MATHEMATICAL SOCIETY	1435-9855	MATHEMATICS, APPLIED; MATHEMATICS
3573	J EVAL CLIN PRACT	JOURNAL OF EVALUATION IN CLINICAL PRACTICE	1356-1294	MEDICINE, GENERAL & INTERNAL; MEDICAL INFORMATICS
3574	J EVOL EQU	JOURNAL OF EVOLUTION EQUATIONS	1424-3199	MATHEMATICS, APPLIED; MATHEMATICS
3575	J EVOLUTION BIOL	JOURNAL OF EVOLUTIONARY BIOLOGY	1010-061X	GENETICS & HEREDITY; EVOLUTIONARY BIOLOGY; ECOLOGY
3576	J EXP ANAL BEHAV	JOURNAL OF THE EXPERIMENTAL ANALYSIS OF BEHAVIOR	0022-5002	BEHAVIORAL SCIENCES
3577	J EXP BIOL	JOURNAL OF EXPERIMENTAL BIOLOGY	0022-0949	BIOLOGY
3578	J EXP BOT	JOURNAL OF EXPERIMENTAL BOTANY	0022-0957	PLANT SCIENCES
3579	J EXP CLIN CANC RES	JOURNAL OF EXPERIMENTAL & CLINICAL CANCER RESEARCH	1756-9966	ONCOLOGY
3580	J EXP MAR BIOL ECOL	JOURNAL OF EXPERIMENTAL MARINE BIOLOGY AND ECOLOGY	0022-0981	MARINE & FRESHWATER BIOLOGY; ECOLOGY
3581	J EXP MED	JOURNAL OF EXPERIMENTAL MEDICINE	0022-1007	IMMUNOLOGY; MEDICINE, RESEARCH & EXPERIMENTAL
3582	J EXP PSYCHOL HUMAN	JOURNAL OF EXPERIMENTAL PSYCHOLOGY-HUMAN PERCEPTION AND PERFORMANCE	0096-1523	PSYCHOLOGY
3583	J EXP PSYCHOL LEARN	JOURNAL OF EXPERIMENTAL PSYCHOLOGY-LEARNING MEMORY AND COGNITION	0278-7393	PSYCHOLOGY
3584	J EXP PSYCHOL-ANIM L	JOURNAL OF EXPERIMENTAL PSYCHOLOGY-ANIMAL LEARNING AND COGNITION	0097-7403	ZOOLOGY; BEHAVIORAL SCIENCES; PSYCHOLOGY
3585	J EXP THEOR PHYS+	JOURNAL OF EXPERIMENTAL AND THEORETICAL PHYSICS	1063-7761	PHYSICS, MULTIDISCIPLINARY
3586	J EXP ZOOL PART A	JOURNAL OF EXPERIMENTAL ZOOLOGY PART A-ECOLOGICAL GENETICS AND PHYSIOLOGY	1932-5223	ZOOLOGY
3587	J EXP ZOOL PART B	JOURNAL OF EXPERIMENTAL ZOOLOGY PART B-MOLECULAR AND DEVELOPMENTAL EVOLUTION	1552-5007	ZOOLOGY; DEVELOPMENTAL BIOLOGY; EVOLUTIONARY BIOLOGY
3588	J EXPO SCI ENV EPID	JOURNAL OF EXPOSURE SCIENCE AND ENVIRONMENTAL EPIDEMIOLOGY	1559-0631	ENVIRONMENTAL SCIENCES; TOXICOLOGY; PUBLIC, ENVIRONMENTAL & OCC
3589	J FAC AGR KYUSHU U	JOURNAL OF THE FACULTY OF AGRICULTURE KYUSHU UNIVERSITY	0023-6152	AGRICULTURE, MULTIDISCIPLINARY
3590	J FAM NURS	JOURNAL OF FAMILY NURSING	1074-8407	NURSING
3591	J FAM PRACTICE	JOURNAL OF FAMILY PRACTICE	0094-3509	MEDICINE, GENERAL & INTERNAL; PRIMARY HEALTH CARE
3592	J FELINE MED SURG	JOURNAL OF FELINE MEDICINE AND SURGERY	1098-612X	VETERINARY SCIENCES
3593	J FIELD ORNITHOL	JOURNAL OF FIELD ORNITHOLOGY	0273-8570	ORNITHOLOGY
3594	J FIELD ROBOT	JOURNAL OF FIELD ROBOTICS	1556-4959	ROBOTICS
3595	J FIRE SCI	JOURNAL OF FIRE SCIENCES	0734-9041	ENGINEERING, MULTIDISCIPLINARY; MATERIALS SCIENCE, MULTIDISCIPLINARY
3596	J FISH BIOL	JOURNAL OF FISH BIOLOGY	0022-1112	MARINE & FRESHWATER BIOLOGY; FISHERIES
3597	J FISH DIS	JOURNAL OF FISH DISEASES	0140-7775	FISHERIES; VETERINARY SCIENCES; MARINE & FRESHWATER BIOLOGY
3598	J FISH WILDL MANAG	JOURNAL OF FISH AND WILDLIFE MANAGEMENT	1944-687X	BIODIVERSITY CONSERVATION
3599	J FIX POINT THEORY A	JOURNAL OF FIXED POINT THEORY AND APPLICATIONS	1661-7738	MATHEMATICS
3600	J FLOOD RISK MANAG	JOURNAL OF FLOOD RISK MANAGEMENT	1753-318X	ENVIRONMENTAL SCIENCES; WATER RESOURCES
3601	J FLOW CHEM	JOURNAL OF FLOW CHEMISTRY	2062-249X	CHEMISTRY, MULTIDISCIPLINARY
3602	J FLUENCY DISORD	JOURNAL OF FLUENCY DISORDERS	0094-730X	REHABILITATION; AUDIOLOGY & SPEECH-LANGUAGE PATHOLOGY
3603	J FLUID ENG-T ASME	JOURNAL OF FLUIDS ENGINEERING-TRANSACTIONS OF THE ASME	0098-2202	ENGINEERING, MECHANICAL
3604	J FLUID MECH	JOURNAL OF FLUID MECHANICS	0022-1120	MECHANICS; PHYSICS, FLUIDS & PLASMAS
3605	J FLUID STRUCT	JOURNAL OF FLUIDS AND STRUCTURES	0889-9746	ENGINEERING, MECHANICAL; MECHANICS
3606	J FLUORESC	JOURNAL OF FLUORESCENCE	1053-0509	BIOCHEMICAL RESEARCH METHODS; CHEMISTRY, PHYSICAL; CHEMISTRY, ANALYTICAL
3607	J FLUORINE CHEM	JOURNAL OF FLUORINE CHEMISTRY	0022-1139	CHEMISTRY, INORGANIC & NUCLEAR; CHEMISTRY, ORGANIC
3608	J FOOD BIOCHEM	JOURNAL OF FOOD BIOCHEMISTRY	0145-8884	BIOCHEMISTRY & MOLECULAR BIOLOGY; FOOD SCIENCE & TECHNOLOGY
3609	J FOOD COMPOS ANAL	JOURNAL OF FOOD COMPOSITION AND ANALYSIS	0889-1575	CHEMISTRY, APPLIED; FOOD SCIENCE & TECHNOLOGY
3610	J FOOD DRUG ANAL	JOURNAL OF FOOD AND DRUG ANALYSIS	1021-9498	FOOD SCIENCE & TECHNOLOGY
3611	J FOOD ENG	JOURNAL OF FOOD ENGINEERING	0260-8774	ENGINEERING, CHEMICAL; FOOD SCIENCE & TECHNOLOGY
3612	J FOOD NUTR RES	JOURNAL OF FOOD AND NUTRITION RESEARCH	1336-8672	FOOD SCIENCE & TECHNOLOGY
3613	J FOOD PROCESS ENG	JOURNAL OF FOOD PROCESS ENGINEERING	0145-8876	ENGINEERING, CHEMICAL
3614	J FOOD PROCESS PRES	JOURNAL OF FOOD PROCESSING AND PRESERVATION	0145-8892	FOOD SCIENCE & TECHNOLOGY
3615	J FOOD PROTECT	JOURNAL OF FOOD PROTECTION	0362-028X	BIOTECHNOLOGY & APPLIED MICROBIOLOGY; FOOD SCIENCE & TECHNOLOGY
3616	J FOOD SAFETY	JOURNAL OF FOOD SAFETY	0149-6085	BIOTECHNOLOGY & APPLIED MICROBIOLOGY; FOOD SCIENCE & TECHNOLOGY
3617	J FOOD SCI	JOURNAL OF FOOD SCIENCE	0022-1147	FOOD SCIENCE & TECHNOLOGY
3618	J FOOD SCI TECH MYS	JOURNAL OF FOOD SCIENCE AND TECHNOLOGY-MYSORE	0022-1155	FOOD SCIENCE & TECHNOLOGY
3619	J FOOT ANKLE RES	JOURNAL OF FOOT AND ANKLE RESEARCH	1757-1146	ORTHOPEDICS
3620	J FOOT ANKLE SURG	JOURNAL OF FOOT & ANKLE SURGERY	1067-2516	ORTHOPEDICS
3621	J FORAMIN RES	JOURNAL OF FORAMINIFERAL RESEARCH	0096-1191	PALEONTOLOGY
3622	J FORENSIC LEG MED	JOURNAL OF FORENSIC AND LEGAL MEDICINE	1752-928X	MEDICINE, LEGAL
3623	J FORENSIC SCI	JOURNAL OF FORENSIC SCIENCES	0022-1198	MEDICINE, LEGAL
3624	J FOREST	JOURNAL OF FORESTRY	0022-1201	FORESTRY
3625	J FOREST ECON	JOURNAL OF FOREST ECONOMICS	1104-6899	FORESTRY
3626	J FOREST RES-JPN	JOURNAL OF FOREST RESEARCH	1341-6979	FORESTRY
3627	J FORMOS MED ASSOC	JOURNAL OF THE FORMOSAN MEDICAL ASSOCIATION	0929-6646	MEDICINE, GENERAL & INTERNAL
3628	J FOURIER ANAL APPL	JOURNAL OF FOURIER ANALYSIS AND APPLICATIONS	1069-5869	MATHEMATICS, APPLIED
3629	J FRANKLIN I	JOURNAL OF THE FRANKLIN INSTITUTE-ENGINEERING AND APPLIED MATHEMATICS	0016-0032	MATHEMATICS, INTERDISCIPLINARY APPLICATIONS; AUTOMATION & CONTROL SYSTEMS; ENGINEERING, MULTIDISCIPLINARY; ENGINEERING, ELECTRICAL & ELECTRONIC
3630	J FRESHWATER ECOL	JOURNAL OF FRESHWATER ECOLOGY	0270-5060	ECOLOGY; LIMNOLOGY
3631	J FUNCT ANAL	JOURNAL OF FUNCTIONAL ANALYSIS	0022-1236	MATHEMATICS
3632	J FUNCT FOODS	JOURNAL OF FUNCTIONAL FOODS	1756-4646	FOOD SCIENCE & TECHNOLOGY
3633	J FUNCT PROGRAM	JOURNAL OF FUNCTIONAL PROGRAMMING	0956-7968	COMPUTER SCIENCE, SOFTWARE ENGINEERING
3634	J GASTROEN HEPATOL	JOURNAL OF GASTROENTEROLOGY AND HEPATOLOGY	0815-9319	GASTROENTEROLOGY & HEPATOLOGY
3635	J GASTROENTEROL	JOURNAL OF GASTROENTEROLOGY	0944-1174	GASTROENTEROLOGY & HEPATOLOGY
3636	J GASTROINTEST LIVER	JOURNAL OF GASTROINTESTINAL AND LIVER DISEASES	1841-8724	GASTROENTEROLOGY & HEPATOLOGY
3637	J GASTROINTEST SURG	JOURNAL OF GASTROINTESTINAL SURGERY	1091-255X	SURGERY ; GASTROENTEROLOGY & HEPATOLOGY
3638	J GEN APPL MICROBIOL	JOURNAL OF GENERAL AND APPLIED MICROBIOLOGY	0022-1260	MICROBIOLOGY; BIOTECHNOLOGY & APPLIED MICROBIOLOGY
3639	J GEN INTERN MED	JOURNAL OF GENERAL INTERNAL MEDICINE	0884-8734	HEALTH CARE SCIENCES & SERVICES; MEDICINE, GENERAL & INTERNAL
3640	J GEN PHYSIOL	JOURNAL OF GENERAL PHYSIOLOGY	0022-1295	PHYSIOLOGY
3641	J GEN PLANT PATHOL	JOURNAL OF GENERAL PLANT PATHOLOGY	1345-2630	PLANT SCIENCES
3642	J GEN VIROL	JOURNAL OF GENERAL VIROLOGY	0022-1317	VIROLOGY; BIOTECHNOLOGY & APPLIED MICROBIOLOGY
3643	J GENE MED	JOURNAL OF GENE MEDICINE	1099-498X	MEDICINE, RESEARCH & EXPERIMENTAL; GENETICS & HEREDITY; BIOTECHNOLOGY & APPLIED MICROBIOLOGY
3644	J GENET GENOMICS	JOURNAL OF GENETICS AND GENOMICS	1673-8527	BIOCHEMISTRY & MOLECULAR BIOLOGY; GENETICS & HEREDITY
3645	J GEOCHEM EXPLOR	JOURNAL OF GEOCHEMICAL EXPLORATION	0375-6742	GEOCHEMISTRY & GEOPHYSICS
3646	J GEODESY	JOURNAL OF GEODESY	0949-7714	GEOCHEMISTRY & GEOPHYSICS; REMOTE SENSING
3647	J GEODYN	JOURNAL OF GEODYNAMICS	0264-3707	GEOCHEMISTRY & GEOPHYSICS
3648	J GEOGR SCI	JOURNAL OF GEOGRAPHICAL SCIENCES	1009-637X	GEOGRAPHY, PHYSICAL
3649	J GEOL	JOURNAL OF GEOLOGY	0022-1376	GEOLOGY
3650	J GEOL SOC LONDON	JOURNAL OF THE GEOLOGICAL SOCIETY	0016-7649	GEOSCIENCES, MULTIDISCIPLINARY
3651	J GEOM ANAL	JOURNAL OF GEOMETRIC ANALYSIS	1050-6926	MATHEMATICS
3652	J GEOM PHYS	JOURNAL OF GEOMETRY AND PHYSICS	0393-0440	PHYSICS, MATHEMATICAL; MATHEMATICS, APPLIED
3653	J GEOPHYS RES	JOURNAL OF GEOPHYSICAL RESEARCH	0148-0227	GEOSCIENCES, MULTIDISCIPLINARY
3654	J GEOSCI-CZECH	JOURNAL OF GEOSCIENCES	1802-6222	GEOCHEMISTRY & GEOPHYSICS; MINERALOGY
3655	J GEOTECH GEOENVIRON	JOURNAL OF GEOTECHNICAL AND GEOENVIRONMENTAL ENGINEERING	1090-0241	GEOSCIENCES, MULTIDISCIPLINARY; ENGINEERING, GEOLOGICAL
3656	J GERIATR PHYS THER	JOURNAL OF GERIATRIC PHYSICAL THERAPY	1539-8412	REHABILITATION
3657	J GERIATR PSYCH NEUR	JOURNAL OF GERIATRIC PSYCHIATRY AND NEUROLOGY	0891-9887	CLINICAL NEUROLOGY ; PSYCHIATRY; GERIATRICS & GERONTOLOGY
3658	J GERONTOL A-BIOL	JOURNALS OF GERONTOLOGY SERIES A-BIOLOGICAL SCIENCES AND MEDICAL SCIENCES	1079-5006	GERIATRICS & GERONTOLOGY
3659	J GERONTOL B-PSYCHOL	JOURNALS OF GERONTOLOGY SERIES B-PSYCHOLOGICAL SCIENCES AND SOCIAL SCIENCES	1079-5014	GERIATRICS & GERONTOLOGY; PSYCHOLOGY
3660	J GINSENG RES	JOURNAL OF GINSENG RESEARCH	1226-8453	INTEGRATIVE & COMPLEMENTARY MEDICINE; CHEMISTRY, MEDICINAL
3661	J GLACIOL	JOURNAL OF GLACIOLOGY	0022-1430	GEOGRAPHY, PHYSICAL; GEOSCIENCES, MULTIDISCIPLINARY
3662	J GLAUCOMA	JOURNAL OF GLAUCOMA	1057-0829	OPHTHALMOLOGY
3663	J GLOBAL OPTIM	JOURNAL OF GLOBAL OPTIMIZATION	0925-5001	OPERATIONS RESEARCH & MANAGEMENT SCIENCE; MATHEMATICS, APPLIED
3664	J GRAPH THEOR	JOURNAL OF GRAPH THEORY	0364-9024	MATHEMATICS
3665	J GREAT LAKES RES	JOURNAL OF GREAT LAKES RESEARCH	0380-1330	MARINE & FRESHWATER BIOLOGY; LIMNOLOGY; ENVIRONMENTAL SCIENCES
3666	J GRID COMPUT	JOURNAL OF GRID COMPUTING	1570-7873	COMPUTER SCIENCE, THEORY & METHODS; COMPUTER SCIENCE, INFORMATION SYSTEMS
3667	J GUID CONTROL DYNAM	JOURNAL OF GUIDANCE CONTROL AND DYNAMICS	0731-5090	ENGINEERING, AEROSPACE; INSTRUMENTS & INSTRUMENTATION
3668	J GYNECOL ONCOL	JOURNAL OF GYNECOLOGIC ONCOLOGY	2005-0380	OBSTETRICS & GYNECOLOGY
3669	J HAND SURG-AM	JOURNAL OF HAND SURGERY-AMERICAN VOLUME	0363-5023	SURGERY ; ORTHOPEDICS
3670	J HAND SURG-EUR VOL	JOURNAL OF HAND SURGERY-EUROPEAN VOLUME	1753-1934	SURGERY ; ORTHOPEDICS
3671	J HAND THER	JOURNAL OF HAND THERAPY	0894-1130	SURGERY ; ORTHOPEDICS; REHABILITATION
3672	J HAZARD MATER	JOURNAL OF HAZARDOUS MATERIALS	0304-3894	ENGINEERING, CIVIL; ENVIRONMENTAL SCIENCES; ENGINEERING, ENVIRONMENTAL
3673	J HEAD TRAUMA REHAB	JOURNAL OF HEAD TRAUMA REHABILITATION	0885-9701	REHABILITATION; CLINICAL NEUROLOGY
3674	J HEADACHE PAIN	JOURNAL OF HEADACHE AND PAIN	1129-2369	NEUROSCIENCES; CLINICAL NEUROLOGY
3675	J HEALTH ECON	JOURNAL OF HEALTH ECONOMICS	0167-6296	HEALTH CARE SCIENCES & SERVICES
3676	J HEALTH POPUL NUTR	JOURNAL OF HEALTH POPULATION AND NUTRITION	1606-0997	ENVIRONMENTAL SCIENCES
3677	J HEART LUNG TRANSPL	JOURNAL OF HEART AND LUNG TRANSPLANTATION	1053-2498	RESPIRATORY SYSTEM; CARDIAC & CARDIOVASCULAR SYSTEMS; SURGERY ; TRANSPLANTATION
3678	J HEART VALVE DIS	JOURNAL OF HEART VALVE DISEASE	0966-8519	CARDIAC & CARDIOVASCULAR SYSTEMS
3679	J HEAT TRANS-T ASME	JOURNAL OF HEAT TRANSFER-TRANSACTIONS OF THE ASME	0022-1481	THERMODYNAMICS; ENGINEERING, MECHANICAL
3680	J HELMINTHOL	JOURNAL OF HELMINTHOLOGY	0022-149X	PARASITOLOGY; ZOOLOGY
3681	J HEMATOL ONCOL	JOURNAL OF HEMATOLOGY & ONCOLOGY	1756-8722	ONCOLOGY; HEMATOLOGY
3682	J HEPATO-BIL-PAN SCI	JOURNAL OF HEPATO-BILIARY-PANCREATIC SCIENCES	1868-6974	GASTROENTEROLOGY & HEPATOLOGY; SURGERY
3683	J HEPATOL	JOURNAL OF HEPATOLOGY	0168-8278	GASTROENTEROLOGY & HEPATOLOGY
3684	J HERB MED	JOURNAL OF HERBAL MEDICINE	2210-8033	INTEGRATIVE & COMPLEMENTARY MEDICINE
3685	J HERED	JOURNAL OF HEREDITY	0022-1503	GENETICS & HEREDITY
3686	J HERPETOL	JOURNAL OF HERPETOLOGY	0022-1511	ZOOLOGY
3687	J HETEROCYCLIC CHEM	JOURNAL OF HETEROCYCLIC CHEMISTRY	0022-152X	CHEMISTRY, ORGANIC
3688	J HEURISTICS	JOURNAL OF HEURISTICS	1381-1231	COMPUTER SCIENCE, THEORY & METHODS; COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE
3689	J HIGH ENERGY PHYS	JOURNAL OF HIGH ENERGY PHYSICS	1029-8479	PHYSICS, PARTICLES & FIELDS
3690	J HIST BIOL	JOURNAL OF THE HISTORY OF BIOLOGY	0022-5010	HISTORY & PHILOSOPHY OF SCIENCE; BIOLOGY
3691	J HIST MED ALL SCI	JOURNAL OF THE HISTORY OF MEDICINE AND ALLIED SCIENCES	0022-5045	HISTORY & PHILOSOPHY OF SCIENCE
3692	J HIST NEUROSCI	JOURNAL OF THE HISTORY OF THE NEUROSCIENCES	0964-704X	HISTORY & PHILOSOPHY OF SCIENCE
3693	J HISTOCHEM CYTOCHEM	JOURNAL OF HISTOCHEMISTRY & CYTOCHEMISTRY	0022-1554	CELL BIOLOGY
3694	J HISTOTECHNOL	JOURNAL OF HISTOTECHNOLOGY	0147-8885	CELL BIOLOGY
3695	J HORTIC SCI BIOTECH	JOURNAL OF HORTICULTURAL SCIENCE & BIOTECHNOLOGY	1462-0316	HORTICULTURE
3696	J HOSP INFECT	JOURNAL OF HOSPITAL INFECTION	0195-6701	INFECTIOUS DISEASES
3697	J HOSP MED	JOURNAL OF HOSPITAL MEDICINE	1553-5592	MEDICINE, GENERAL & INTERNAL
3698	J HUM EVOL	JOURNAL OF HUMAN EVOLUTION	0047-2484	EVOLUTIONARY BIOLOGY
3699	J HUM GENET	JOURNAL OF HUMAN GENETICS	1434-5161	GENETICS & HEREDITY
3700	J HUM HYPERTENS	JOURNAL OF HUMAN HYPERTENSION	0950-9240	PERIPHERAL VASCULAR DISEASE
