Dergi Adı,ISSN,Dergi Puanı,Teşvik Miktarı
Journal of the Taiwan Institute of Chemical Engineers,1876-1070,29.1,819.73
JOURNAL OF TEACHER EDUCATION,0022-4871,82.51,4829.1
JOURNAL OF TEACHING IN PHYSICAL EDUCATION,0273-5024,27.39,774.77
JOURNAL OF TECHNOLOGY TRANSFER,0892-9912,17.28,586.89
JOURNAL OF TELEMEDICINE AND TELECARE,1357-633X,29.71,836.78
JOURNAL OF TERRAMECHANICS,0022-4898,21.1,643.09
JOURNAL OF TESTING AND EVALUATION,0090-3973,17.21,586.01
JOURNAL OF THE TEXTILE INSTITUTE,0040-5000,24.12,700
JOURNAL OF TEXTURE STUDIES,0022-4901,29.69,836.23
Journal of Theoretical and Applied Mechanics,1429-2955,8.56,515.02
JOURNAL OF THEORETICAL BIOLOGY,0022-5193,28.49,803.37
JOURNAL OF THEORETICAL & COMPUTATIONAL CHEMISTRY,0219-6336,2.38,500.61
Journal de Theorie des Nombres de Bordeaux,1246-7405,17.54,590.25
JOURNAL OF THEORETICAL POLITICS,0951-6298,35.13,1012.14
JOURNAL OF THEORETICAL PROBABILITY,0894-9840,22.01,659.03
JOURNAL FOR THE THEORY OF SOCIAL BEHAVIOUR,0021-8308,19.78,621.85
JOURNAL OF THERMAL ANALYSIS AND CALORIMETRY,1388-6150,15.83,569.83
JOURNAL OF THERMAL BIOLOGY,0306-4565,39.88,1203.11
Journal of Thermal Science,1003-2169,11.33,530.27
Journal of Thermal Science and Technology,1880-5566,10.9,527.45
JOURNAL OF THERMAL SPRAY TECHNOLOGY,1059-9630,50.46,1765.86
JOURNAL OF THERMAL STRESSES,0149-5739,32.43,919.32
JOURNAL OF THERMOPHYSICS AND HEAT TRANSFER,0887-8722,24.24,702.44
JOURNAL OF THERMOPLASTIC COMPOSITE MATERIALS,0892-7057,33.51,954.93
JOURNAL OF THORACIC AND CARDIOVASCULAR SURGERY,0022-5223,100,7500
Journal of Thoracic Disease,2072-1439,15.97,571.31
JOURNAL OF THORACIC IMAGING,0883-5993,28.6,806.32
Journal of Thoracic Oncology,1556-0864,65.92,2970.03
JOURNAL OF THROMBOSIS AND HAEMOSTASIS,1538-7933,82.29,4800.08
JOURNAL OF THROMBOSIS AND THROMBOLYSIS,0929-5305,22.99,677.39
JOURNAL OF TIME SERIES ANALYSIS,0143-9782,28.75,810.31
Journal of Tissue Engineering and Regenerative Medicine,1932-6254,50.46,1766.01
Journal of Tissue Viability,0965-206X,45.15,1458.79
Journal of Topology,1753-8416,73.08,3696.22
Journal of Topology and Analysis,1793-5253,52.25,1881.14
JOURNAL OF THE TORREY BOTANICAL SOCIETY,1095-5674,7.86,512.12
Journal of Tourism and Cultural Change,1476-6825,10.96,527.86
JOURNAL OF TOXICOLOGY AND ENVIRONMENTAL HEALTH-PART A-CURRENT ISSUES,1528-7394,20.66,635.74
JOURNAL OF TOXICOLOGY AND ENVIRONMENTAL HEALTH-PART B-CRITICAL REVIEWS,1093-7404,72.05,3584.58
Journal of Toxicologic Pathology,0914-9198,7.1,509.39
JOURNAL OF TOXICOLOGICAL SCIENCES,0388-1350,11.71,532.86
JOURNAL OF TRACE ELEMENTS IN MEDICINE AND BIOLOGY,0946-672X,15.81,569.55
Journal of Traditional Chinese Medicine,0255-2922,2.46,500.66
Journal of Transcultural Nursing,1043-6596,44.03,1400.46
Journal of Translational Medicine,1479-5876,28.21,795.8
JOURNAL OF TRANSPORT ECONOMICS AND POLICY,0022-5258,46.3,1520.95
JOURNAL OF TRANSPORTATION ENGINEERING,0733-947X,26.71,758.11
Journal of Transport Geography,0966-6923,72.45,3627.06
Journal of Transport & Health,2214-1405,4.08,502.35
Journal of Trauma and Acute Care Surgery,2163-0755,57.47,2252.74
Journal of Trauma & Dissociation,1529-9732,21.47,649.47
JOURNAL OF TRAUMATIC STRESS,0894-9867,48.5,1646.46
JOURNAL OF TRAVEL MEDICINE,1195-1982,7.25,509.91
Journal of Travel Research,0047-2875,85.2,5190.92
Journal of Travel & Tourism Marketing,1054-8408,31.84,900.31
JOURNAL OF TRIBOLOGY-TRANSACTIONS OF THE ASME,0742-4787,36.79,1074.74
JOURNAL OF TROPICAL ECOLOGY,0266-4674,12.51,538.73
JOURNAL OF TROPICAL FOREST SCIENCE,0128-1283,17.08,584.35
Journal of Tropical Meteorology,1006-8775,1.61,500.23
JOURNAL OF TROPICAL PEDIATRICS,0142-6338,26.71,758.11
JOURNAL OF TURBOMACHINERY-TRANSACTIONS OF THE ASME,0889-504X,29.29,825.12
JOURNAL OF TURBULENCE,1468-5248,46.54,1534.22
JOURNAL OF ULTRASOUND IN MEDICINE,0278-4297,28.37,800.18
JOURNAL OF UNIVERSAL COMPUTER SCIENCE,0948-695X,11.17,529.21
JOURNAL OF URBAN AFFAIRS,0735-2166,52.77,1916.22
JOURNAL OF URBAN ECONOMICS,0094-1190,100,7500
JOURNAL OF URBAN HEALTH-BULLETIN OF THE NEW YORK ACADEMY OF MEDICINE,1099-3460,45.66,1485.91
JOURNAL OF URBAN PLANNING AND DEVELOPMENT,0733-9488,21.18,644.53
JOURNAL OF URBAN TECHNOLOGY,1063-0732,34.87,1002.75
JOURNAL OF UROLOGY,0022-5347,67.41,3112.05
JOURNAL OF VACUUM SCIENCE & TECHNOLOGY A,0734-2101,67.01,3073.46
JOURNAL OF VACUUM SCIENCE & TECHNOLOGY B,1071-1023,20.45,632.44
Journal of Vascular Access,1129-7298,8.42,514.42
JOURNAL OF VASCULAR AND INTERVENTIONAL RADIOLOGY,1051-0443,38.93,1161.81
JOURNAL OF VASCULAR RESEARCH,1018-1172,26.69,757.58
JOURNAL OF VASCULAR SURGERY,0741-5214,67.79,3148.11
JOURNAL OF VECTOR BORNE DISEASES,0972-9062,10.41,524.5
JOURNAL OF VECTOR ECOLOGY,1081-1710,30.74,866.64
JOURNAL OF VEGETATION SCIENCE,1100-9233,100,7500
JOURNAL OF VENOMOUS ANIMALS AND TOXINS INCLUDING TROPICAL DISEASES,1678-9199,3.61,501.73
Journal fur Verbraucherschutz und Lebensmittelsicherheit-Journal of Consumer Protection and Food Saf,1661-5751,14.21,553.26
JOURNAL OF VERTEBRATE PALEONTOLOGY,0272-4634,69.22,3290.62
JOURNAL OF VESTIBULAR RESEARCH-EQUILIBRIUM & ORIENTATION,0957-4271,43.41,1369.31
Journal of Veterinary Behavior-Clinical Applications and Research,1558-7878,59.5,2411.51
Journal of Veterinary Cardiology,1760-2734,62.96,2701.73
JOURNAL OF VETERINARY DIAGNOSTIC INVESTIGATION,1040-6387,61.27,2556.63
JOURNAL OF VETERINARY EMERGENCY AND CRITICAL CARE,1479-3261,57.73,2272.71
JOURNAL OF VETERINARY INTERNAL MEDICINE,0891-6640,91.75,6144.74
JOURNAL OF VETERINARY MEDICAL EDUCATION,0748-321X,29.16,821.43
JOURNAL OF VETERINARY MEDICAL SCIENCE,0916-7250,32.99,937.57
JOURNAL OF VETERINARY PHARMACOLOGY AND THERAPEUTICS,0140-7783,46.24,1518
Journal of Veterinary Science,1229-845X,48.9,1670.22
JOURNAL OF VIBRATION AND ACOUSTICS-TRANSACTIONS OF THE ASME,1048-9002,40.63,1236.47
Journal of Vibration Engineering & Technologies,2321-3558,3.54,501.65
Journal of Vibroengineering,1392-8716,5.06,504.02
JOURNAL OF VINYL & ADDITIVE TECHNOLOGY,1083-5601,22.82,674.06
JOURNAL OF VIRAL HEPATITIS,1352-0504,49.02,1677.67
JOURNAL OF VIROLOGY,0022-538X,43.76,1386.71
JOURNAL OF VIROLOGICAL METHODS,0166-0934,13.96,550.97
JOURNAL OF VISUAL COMMUNICATION AND IMAGE REPRESENTATION,1047-3203,28.39,800.63
Journal of Visceral Surgery,1878-7886,29.42,828.75
JOURNAL OF VISION,1534-7362,70.05,3375.19
JOURNAL OF VISUAL IMPAIRMENT & BLINDNESS,0145-482X,18.78,606.97
JOURNAL OF VISUAL LANGUAGES AND COMPUTING,1045-926X,24.6,710.02
JOURNAL OF VISUALIZATION,1343-8875,12.12,535.83
JOURNAL OF VOCATIONAL BEHAVIOR,0001-8791,47.53,1590.06
JOURNAL OF VOICE,0892-1997,32.03,906.55
JOURNAL OF VOLCANOLOGY AND GEOTHERMAL RESEARCH,0377-0273,42.27,1313.2
Journal of Volcanology and Seismology,0742-0463,5.52,505.02
Journal of Water Chemistry and Technology,1063-455X,3.61,501.73
Journal of Water and Climate Change,2040-2244,27.94,788.91
JOURNAL OF WATER AND HEALTH,1477-8920,24.47,707.42
JOURNAL OF WATER RESOURCES PLANNING AND MANAGEMENT,0733-9496,61.29,2558.88
Journal of Water Reuse and Desalination,2220-1319,6.83,508.53
Journal of Water Sanitation and Hygiene for Development,2043-9083,9.97,521.99
JOURNAL OF WATER SUPPLY RESEARCH AND TECHNOLOGY-AQUA,0003-7214,21.18,644.53
JOURNAL OF WATERWAY PORT COASTAL AND OCEAN ENGINEERING,0733-950X,63.69,2766.13
Journal of Web Engineering,1540-9589,8.15,513.28
Journal of Web Semantics,1570-8268,60.01,2453.13
JOURNAL OF WILDLIFE DISEASES,0090-3558,60.97,2532
JOURNAL OF WILDLIFE MANAGEMENT,0022-541X,52.5,1897.82
JOURNAL OF WIND ENGINEERING AND INDUSTRIAL AERODYNAMICS,0167-6105,50.7,1781.39
JOURNAL OF WOMEN & AGING,0895-2841,24.14,700.44
Journal of Women Politics & Policy,1554-477X,19.85,622.81
JOURNAL OF WOMENS HEALTH,1540-9996,66.92,3064.83
JOURNAL OF WOOD CHEMISTRY AND TECHNOLOGY,0277-3813,58.8,2355.88
JOURNAL OF WOOD SCIENCE,1435-0211,31.68,895.48
JOURNAL OF THE WORLD AQUACULTURE SOCIETY,0893-8849,16.29,575.01
JOURNAL OF WORLD BUSINESS,1090-9516,39.62,1191.85
Journal of World Energy Law & Business,1754-9957,8.23,513.58
JOURNAL OF WORLD TRADE,1011-6702,15.38,564.99
Journal of Wound Care,0969-0700,24.61,710.29
Journal of Wound Ostomy and Continence Nursing,1071-5754,35.97,1043.19
JOURNAL OF WUHAN UNIVERSITY OF TECHNOLOGY-MATERIALS SCIENCE EDITION,1000-2413,2.58,500.75
Journal of X-Ray Science and Technology,0895-3996,24.28,703.31
JOURNAL OF YOUTH AND ADOLESCENCE,0047-2891,56.92,2210.75
Journal of Youth Studies,1367-6261,29.49,830.57
Journal of Zhejiang University-SCIENCE C-Computers & Electronics,1869-1951,7.25,509.91
Journal of Zhejiang University-SCIENCE A,1673-565X,15.64,567.75
Journal of Zhejiang University-SCIENCE B,1673-1581,9.22,518.07
JOURNAL OF ZOO AND WILDLIFE MEDICINE,1042-7260,23.56,688.68
JOURNAL OF ZOOLOGY,0952-8369,59.44,2406.85
JOURNAL OF ZOOLOGICAL SYSTEMATICS AND EVOLUTIONARY RESEARCH,0947-5745,52.24,1880.98
J-FOR-Journal of Science & Technology for Forest Products and Processes,1927-6311,20.86,639.13
JACC-Cardiovascular Imaging,1936-878X,100,7500
JACC-Cardiovascular Interventions,1936-8798,100,7500
JAHRBUCHER FUR NATIONALOKONOMIE UND STATISTIK,0021-4027,3.96,502.18
JAIDS-JOURNAL OF ACQUIRED IMMUNE DEFICIENCY SYNDROMES,1525-4135,72.28,3609.34
JALA,2211-0682,27.59,779.79
JAMA Dermatology,2168-6068,100,7500
JAMA Facial Plastic Surgery,2168-6076,22.78,673.44
JAMA Internal Medicine,2168-6106,100,7500
JAMA Neurology,2168-6149,100,7500
JAMA Ophthalmology,2168-6165,75.17,3928.88
JAMA Otolaryngology-Head & Neck Surgery,2168-6181,63.33,2734.18
JAMA Pediatrics,2168-6203,100,7500
JAMA Psychiatry,2168-622X,100,7500
JAMA Surgery,2168-6254,100,7500
JAMA-JOURNAL OF THE AMERICAN MEDICAL ASSOCIATION,0098-7484,100,7500
JARO-JOURNAL OF THE ASSOCIATION FOR RESEARCH IN OTOLARYNGOLOGY,1525-3961,100,7500
JARQ-JAPAN AGRICULTURAL RESEARCH QUARTERLY,0021-3551,17.25,586.46
JASSS-THE JOURNAL OF ARTIFICIAL SOCIETIES AND SOCIAL SIMULATION,1460-7425,28.09,792.71
JAVMA-JOURNAL OF THE AMERICAN VETERINARY MEDICAL ASSOCIATION,0003-1488,82.62,4843.41
JAVNOST-THE PUBLIC,1318-3222,8.65,515.38
JBR-BTR,1780-2393,4.04,502.29
JCMS-Journal of Common Market Studies,0021-9886,56.51,2180.2
JCPSP-Journal of the College of Physicians and Surgeons Pakistan,1022-386X,1.59,500.22
JCR-JOURNAL OF CLINICAL RHEUMATOLOGY,1076-1608,8.21,513.5
JCT COATINGSTECH,1547-0083,0,500
JETP LETTERS,0021-3640,4.95,503.82
JNCI-Journal of the National Cancer Institute,0027-8874,94.33,6549.07
JOGNN-JOURNAL OF OBSTETRIC GYNECOLOGIC AND NEONATAL NURSING,0884-2175,63.88,2783.08
Johnson Matthey Technology Review,****-****,0.51,500.01
JOINT BONE SPINE,1297-319X,13.99,551.29
Jokull,0449-0576,11.02,528.21
JOM,1047-4838,78.39,4308.37
Journalism,1464-8849,38.77,1155.32
Journalism Studies,1461-670X,31.03,875.52
Jove-Journal of Visualized Experiments,1940-087X,6.71,508.16
JOURNAL OF PARENTERAL AND ENTERAL NUTRITION,0148-6071,54.13,2009.36
JAPANESE ECONOMIC REVIEW,1352-4739,4.45,502.93
JAPANESE JOURNAL OF APPLIED ENTOMOLOGY AND ZOOLOGY,0021-4914,6.27,506.88
JAPANESE JOURNAL OF APPLIED PHYSICS,0021-4922,4.46,502.94
JAPANESE JOURNAL OF CLINICAL ONCOLOGY,0368-2811,9.12,517.58
JAPAN JOURNAL OF INDUSTRIAL AND APPLIED MATHEMATICS,0916-7005,7.6,511.14
JAPANESE JOURNAL OF INFECTIOUS DISEASES,1344-6304,14.8,558.94
Japanese Journal of Mathematics,0289-2316,61.62,2586.33
Japan Journal of Nursing Science,1742-7932,25.07,720.39
JAPANESE JOURNAL OF OPHTHALMOLOGY,0021-5155,24.1,699.67
Japanese Journal of Political Science,1468-1099,8.67,515.49
Japanese Journal of Radiology,1867-1071,16.03,572.04
JAPANESE JOURNAL OF VETERINARY RESEARCH,0047-1917,38.59,1147.41
JAPANESE PSYCHOLOGICAL RESEARCH,0021-5368,4.88,503.69
JAPAN AND THE WORLD ECONOMY,0922-1425,4.8,503.54
JSLS-Journal of the Society of Laparoendoscopic Surgeons,1086-8089,23.98,697.21
Judgment and Decision Making,1930-2975,31.95,903.74
Jundishapur Journal of Microbiology,2008-3645,1.48,500.19
JUSTICE QUARTERLY,0741-8825,88.36,5636.64
JUSTICE SYSTEM JOURNAL,0098-261X,13.02,542.85
JUVENILE AND FAMILY COURT JOURNAL,0161-7109,3.96,502.18
Kafkas Universitesi Veteriner Fakultesi Dergisi,1300-6045,7.95,512.49
KAGAKU KOGAKU RONBUNSHU,0386-216X,0.94,500.06
KAOHSIUNG JOURNAL OF MEDICAL SCIENCES,1607-551X,4.75,503.44
Kardiologia Polska,0022-9032,3.89,502.08
KARDIOLOGIYA,0022-9040,0.07,500
KEDI Journal of Educational Policy,1739-4341,11.28,529.9
KERNTECHNIK,0932-3902,9.93,521.72
KGK-Kautschuk Gummi Kunststoffe,0948-3276,1.38,500.16
KIDNEY & BLOOD PRESSURE RESEARCH,1420-4096,22.81,673.94
KIDNEY INTERNATIONAL,0085-2538,100,7500
Kidney International Supplements,2157-1724,100,7500
KINDHEIT UND ENTWICKLUNG,0942-5403,5.35,504.64
Kinematics and Physics of Celestial Bodies,0884-5913,0,500
Kinesiology,1331-1441,9.62,520.1
KINETICS AND CATALYSIS,0023-1584,2.68,500.83
Kinetic and Related Models,1937-5093,43.86,1391.58
KLEINTIERPRAXIS,0023-2076,3.39,501.48
KLINISCHE MONATSBLATTER FUR AUGENHEILKUNDE,0023-2165,0.13,500
KLINISCHE NEUROPHYSIOLOGIE,1434-0275,1.61,500.23
KLINISCHE PADIATRIE,0300-8630,12.43,538.16
KLINIK PSIKOFARMAKOLOJI BULTENI-BULLETIN OF CLINICAL PSYCHOPHARMACOLOGY,1017-7833,1.72,500.27
KNEE,0968-0160,56.94,2212.31
KNEE SURGERY SPORTS TRAUMATOLOGY ARTHROSCOPY,0942-2056,72.25,3606.18
KNOWLEDGE ENGINEERING REVIEW,0269-8889,25.18,722.64
KNOWLEDGE AND INFORMATION SYSTEMS,0219-1377,35.57,1028.05
Knowledge Management Research & Practice,1477-8238,16.93,582.52
Knowledge and Management of Aquatic Ecosystems,1961-9502,15.79,569.39
KNOWLEDGE ORGANIZATION,0943-7444,3.2,501.29
KNOWLEDGE-BASED SYSTEMS,0950-7051,34.99,1006.81
KOBUNSHI RONBUNSHU,0386-2186,1.01,500.07
Kodai Mathematical Journal,0386-5991,14.99,560.88
KOEDOE,0075-6458,3.88,502.07
KOLNER ZEITSCHRIFT FUR SOZIOLOGIE UND SOZIALPSYCHOLOGIE,0023-2653,10.88,527.35
KONA Powder and Particle Journal,0288-4534,22.65,670.97
Korea Observer,0023-3919,6.88,508.68
KOREA-AUSTRALIA RHEOLOGY JOURNAL,1226-119X,10.13,522.84
Korean Circulation Journal,1738-5520,7.97,512.55
Korean Economic Review,0254-3737,1.7,500.26
KOREAN JOURNAL OF CHEMICAL ENGINEERING,0256-1115,13.02,542.79
KOREAN JOURNAL OF DEFENSE ANALYSIS,1016-3271,5.77,505.59
Korean Journal for Food Science of Animal Resources,1225-8563,2.73,500.86
Korean Journal of Horticultural Science & Technology,1226-8763,4.83,503.6
KOREAN JOURNAL OF INTERNAL MEDICINE,1226-3303,7.26,509.94
Korean Journal of Metals and Materials,1738-8228,22.82,674.11
Korean Journal of Orthodontics,2234-7518,21.7,653.62
KOREAN JOURNAL OF PARASITOLOGY,0023-4001,12.45,538.32
KOREAN JOURNAL OF PHYSIOLOGY & PHARMACOLOGY,1226-4512,8.44,514.49
KOREAN JOURNAL OF RADIOLOGY,1229-6929,31.66,894.83
KOVOVE MATERIALY-METALLIC MATERIALS,0023-432X,9.8,521.04
KSCE Journal of Civil Engineering,1226-7988,15.84,569.89
KSII Transactions on Internet and Information Systems,1976-7277,4.91,503.74
Kuram ve Uygulamada Egitim Bilimleri,1303-0485,6.71,508.16
Kuwait Journal of Science,2307-4108,0,500
KUWAIT JOURNAL OF SCIENCE & ENGINEERING,1024-8684,0.61,500.02
Kuwait Medical Journal,0023-5776,0,500
KYBERNETES,0368-492X,1.8,500.3
KYBERNETIKA,0023-5954,16.4,576.28
KYKLOS,0023-5962,14.02,551.52
Kyoto Journal of Mathematics,2156-2261,45.27,1465.48
Kyushu Journal of Mathematics,1340-6116,18.9,608.71
LABORATORY ANIMALS,0023-6772,63.33,2734.06
LAB ANIMAL,0093-7355,30.78,867.95
LAB ON A CHIP,1473-0197,32.71,928.25
LABORATORY INVESTIGATION,0023-6837,49.76,1722.44
Labmedicine,0007-5027,7.51,510.81
LaboratoriumsMedizin-Journal of Laboratory Medicine,0342-3026,2.54,500.72
LABOUR ECONOMICS,0927-5371,24.93,717.17
Labour History,0023-6942,2.43,500.64
Laeknabladid,0023-7213,0.75,500.03
LAKE AND RESERVOIR MANAGEMENT,1040-2381,23.9,695.46
LANCET,0140-6736,100,7500
Lancet Diabetes & Endocrinology,2213-8587,100,7500
Lancet Global Health,2214-109X,100,7500
LANCET INFECTIOUS DISEASES,1473-3099,100,7500
LANCET NEUROLOGY,1474-4422,100,7500
LANCET ONCOLOGY,1470-2045,100,7500
Lancet Psychiatry,2215-0374,1.65,500.24
Lancet Respiratory Medicine,2213-2600,100,7500
LAND DEGRADATION & DEVELOPMENT,1085-3278,60.76,2514.54
LAND ECONOMICS,0023-7639,37.6,1106.83
LAND USE POLICY,0264-8377,34.82,1000.84
Landbauforschung,0458-6859,9.49,519.43
Landscape and Ecological Engineering,1860-1871,9.42,519.06
LANDSCAPE ECOLOGY,0921-2973,67.47,3117.38
Landscape Research,0142-6397,20.43,632.07
LANDSCAPE AND URBAN PLANNING,0169-2046,78.99,4381.95
Landslides,1612-510X,83.63,4976.83
Language Cognition and Neuroscience,2327-3798,14.01,551.47
LANGUAGE AND COGNITIVE PROCESSES,0169-0965,84.99,5161.01
LANGUAGE & COMMUNICATION,0271-5309,26.83,761.09
LANGUAGE LEARNING,0023-8333,92.58,6272.83
LANGUAGE LEARNING & TECHNOLOGY,1094-3501,68.77,3244.96
Language Resources and Evaluation,1574-020X,22.68,671.54
LANGUAGE IN SOCIETY,0047-4045,75.15,3927.16
LANGUAGE AND SPEECH,0023-8309,69.55,3323.53
LANGUAGE SPEECH AND HEARING SERVICES IN SCHOOLS,0161-1461,66.33,3008.02
Language Teaching Research,1362-1688,54.44,2030.96
LANGENBECKS ARCHIVES OF SURGERY,1435-2443,46.73,1545.08
LANGMUIR,0743-7463,25.23,723.83
Large Animal Review,1124-4593,2.41,500.63
LARYNGO-RHINO-OTOLOGIE,0935-8943,5.06,504.03
LARYNGOSCOPE,0023-852X,68.81,3249.26
LASERS IN ENGINEERING,0898-1507,0.65,500.02
LASER FOCUS WORLD,1043-8092,1.23,500.12
LASERS IN MEDICAL SCIENCE,0268-8921,37.12,1087.83
LASER AND PARTICLE BEAMS,0263-0346,7.23,509.83
Laser & Photonics Reviews,1863-8880,100,7500
LASER PHYSICS,1054-660X,7.11,509.42
LASER PHYSICS LETTERS,1612-2011,18.16,598.41
LASERS IN SURGERY AND MEDICINE,0196-8092,54.79,2055.17
LATIN AMERICAN APPLIED RESEARCH,0327-0793,2.19,500.5
Latin American Economic Review,2198-3526,0.07,500
Latin American Journal of Aquatic Research,0718-560X,9.7,520.49
Latin American Journal of Pharmacy,0326-2383,0.51,500.01
Latin American Journal of Solids and Structures,1679-7825,30.55,861.19
LATIN AMERICAN PERSPECTIVES,0094-582X,37.99,1122.74
LATIN AMERICAN POLITICS AND SOCIETY,1531-426X,38.65,1149.93
LATIN AMERICAN RESEARCH REVIEW,0023-8791,39.96,1206.42
LATERALITY,1357-650X,7,509.07
LAW AND HUMAN BEHAVIOR,0147-7307,81.34,4677
LAW LIBRARY JOURNAL,0023-9283,6.16,506.6
LAW AND PHILOSOPHY,0167-5249,17.02,583.61
Law & Policy,0265-8240,59.25,2391.84
LAW & SOCIETY REVIEW,0023-9216,86.82,5416.98
LAW AND SOCIAL INQUIRY-JOURNAL OF THE AMERICAN BAR FOUNDATION,0897-6546,39.91,1204.31
LC GC EUROPE,1471-6577,6.83,508.52
LC GC NORTH AMERICA,1527-5949,4.36,502.78
LEADERSHIP & ORGANIZATION DEVELOPMENT JOURNAL,0143-7739,2.89,500.99
LEADERSHIP QUARTERLY,1048-9843,57.9,2285.73
Leadership,1742-7150,11.44,530.97
LEARNING & BEHAVIOR,1543-4494,60.88,2524.4
Learning Culture and Social Interaction,2210-6561,20.41,631.8
Learning Disabilities Research & Practice,0938-8982,43.79,1388.26
LEARNING DISABILITY QUARTERLY,0731-9487,43.94,1395.92
LEARNING AND INDIVIDUAL DIFFERENCES,1041-6080,33.94,969.64
LEARNING AND INSTRUCTION,0959-4752,100,7500
Learning Media and Technology,1743-9884,35.33,1019.42
LEARNING & MEMORY,1072-0502,31.36,885.51
LEARNING AND MOTIVATION,0023-9690,13.74,548.97
LEARNED PUBLISHING,0953-1513,21.61,651.97
Lecture Notes in Mathematics,0075-8434,16.09,572.72
LEGAL AND CRIMINOLOGICAL PSYCHOLOGY,1355-3259,48.21,1629.65
Legal Medicine,1344-6223,29.56,832.62
LEGISLATIVE STUDIES QUARTERLY,0362-9805,54.3,2020.65
Legume Research,0250-5371,2.65,500.8
Leiden Journal of International Law,0922-1565,28.71,809.24
LEISURE SCIENCES,0149-0400,47.16,1569.13
Leisure Studies,0261-4367,51.39,1825.05
LEPROSY REVIEW,0305-7518,14.95,560.44
LETHAIA,0024-1164,64.07,2800.2
LETTERS IN APPLIED MICROBIOLOGY,0266-8254,14.49,555.95
Letters in Drug Design & Discovery,1570-1808,2.19,500.5
LETTERS IN MATHEMATICAL PHYSICS,0377-9017,67.83,3152.56
LETTERS IN ORGANIC CHEMISTRY,1570-1786,4.48,502.97
LEUKEMIA,0887-6924,100,7500
LEUKEMIA & LYMPHOMA,1042-8194,36.03,1045.36
LEUKEMIA RESEARCH,0145-2126,30.99,874.27
Leukos,1550-2724,18.18,598.67
Lex Localis-Journal of Local Self-Government,1581-5374,4.51,503.02
LIBRARY COLLECTIONS ACQUISITIONS & TECHNICAL SERVICES,1464-9055,14.22,553.33
LIBRARY HI TECH,0737-8831,15.04,561.38
LIBRARY AND INFORMATION SCIENCE,0373-4447,3.29,501.37
LIBRARY & INFORMATION SCIENCE RESEARCH,0740-8188,39.61,1191.02
LIBRARY JOURNAL,0363-0277,15.12,562.22
LIBRARY QUARTERLY,0024-2519,31.22,881.36
LIBRARY RESOURCES & TECHNICAL SERVICES,0024-2527,8.05,512.88
LIBRARY TRENDS,0024-2594,10.93,527.64
LIBRI,0024-2667,5.18,504.27
Libyan Journal of Medicine,1993-2820,3.38,501.47
LICHENOLOGIST,0024-2829,16.22,574.19
LIFE SCIENCES,0024-3205,22.45,667.09
LIFETIME DATA ANALYSIS,1380-7870,28.38,800.23
Light & Engineering,0236-2945,0.4,500.01
Light-Science & Applications,2047-7538,100,7500
Lighting Research & Technology,1477-1535,45.55,1480.12
LIMNETICA,0213-8409,17.44,588.86
LIMNOLOGY AND OCEANOGRAPHY,0024-3590,79.05,4389.18
LIMNOLOGY AND OCEANOGRAPHY-METHODS,1541-5856,46.94,1556.75
LIMNOLOGICA,0075-9511,24.77,713.7
LIMNOLOGY,1439-8621,17.72,592.51
LINEAR ALGEBRA AND ITS APPLICATIONS,0024-3795,25.52,730.21
LINEAR & MULTILINEAR ALGEBRA,0308-1087,17.82,593.78
LIPIDS,0024-4201,30.04,846.09
Lipids in Health and Disease,1476-511X,28.61,806.61
LIQUID CRYSTALS,0267-8292,16.78,580.76
LISTY CUKROVARNICKE A REPARSKE,1210-3306,0.55,500.02
Literary and Linguistic Computing,0268-1145,17.17,585.51
Lithuanian Journal of Physics,1648-8504,1.24,500.12
Lithuanian Mathematical Journal,0363-1672,13.36,545.68
LITHOLOGY AND MINERAL RESOURCES,0024-4902,4.19,502.51
LITHOS,0024-4937,61.75,2597.54
Lithosphere,1941-8264,92.19,6212.48
LIVER INTERNATIONAL,1478-3223,45.72,1489.13
LIVER TRANSPLANTATION,1527-6465,85.09,5175.63
Livestock Science,1871-1413,73.35,3726.03
Living Reviews in Relativity,1433-8351,100,7500
Living Reviews in Solar Physics,1614-4961,100,7500
Ljetopis Socijalnog Rada,1846-5412,0,500
LMS Journal of Computation and Mathematics,1461-1570,32.36,917.11
LOCAL GOVERNMENT STUDIES,0300-3930,31.88,901.75
LOGIC JOURNAL OF THE IGPL,1367-0751,10.61,525.68
Logical Methods in Computer Science,1860-5974,25.03,719.35
Logopedics Phoniatrics Vocology,1401-5439,29.82,839.94
LONG RANGE PLANNING,0024-6301,100,7500
LOW TEMPERATURE PHYSICS,1063-777X,4.54,503.08
Lubrication Science,0954-0075,21.97,658.38
LUMINESCENCE,1522-7235,4.6,503.17
LUNG,0341-2040,25.03,719.45
LUNG CANCER,0169-5002,42.01,1300.53
LUPUS,0961-2033,11.78,533.33
